restaurant_key,restaurant google map url,address,coordinates
Lobby Bar @ The Line USA,https://maps.google.com/?cid=137007065060838895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3515 Wilshire Blvd, Los Angeles, CA 90010, USA","34.062113,-118.3012161"
The Normandie Club USA,https://maps.google.com/?cid=10247393589135687419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3612 W 6th St, Los Angeles, CA 90020, USA","34.0634767,-118.3008726"
Arts District Brewing Co USA,https://maps.google.com/?cid=14572293836080270156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"828 Traction Ave, Los Angeles, CA 90013, USA","34.0447118,-118.2352764"
Beelman's Pub USA,https://maps.google.com/?cid=11023777706752314921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"600 S Spring St, Los Angeles, CA 90014, USA","34.0455701,-118.2509263"
Broken Shaker USA,https://maps.google.com/?cid=1170426342579754801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"416 W 8th St, Los Angeles, CA 90014, USA","34.0447551,-118.2564556"
Everson Royce Bar USA,https://maps.google.com/?cid=3371906459490486129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1936 E 7th St, Los Angeles, CA 90021, USA","34.034389,-118.2325991"
Far Bar USA,https://maps.google.com/?cid=5967468054412822445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"347 1st St, Los Angeles, CA 90012, USA","34.04974869999999,-118.2394595"
Golden Gopher USA,https://maps.google.com/?cid=10228531836108658801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"417 W 8th St, Los Angeles, CA 90014, USA","34.0450353,-118.2562027"
Joey DTLA USA,https://maps.google.com/?cid=12586880607528883189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"700 W 7th St Ste S430, Los Angeles, CA 90017, USA","34.0483595,-118.2587597"
Perch USA,https://maps.google.com/?cid=3866628448079004996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"448 S Hill St, Los Angeles, CA 90013, USA","34.0488477,-118.2514257"
