restaurant_key,restaurant google map url,address,raw response of the api
"Electric Owl USA","https://maps.google.com/?cid=18356242145920265311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1451 N Gardner St, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "1451 N Gardner St, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=18356242145920265311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Good Times at Davey Wayne's USA","https://maps.google.com/?cid=10037345221646604035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1611 N El Centro Ave, Los Angeles, CA 90028, USA","{  "places": [    {      "formattedAddress": "1611 N El Centro Ave, Los Angeles, CA 90028, USA",      "googleMapsUri": "https://maps.google.com/?cid=10037345221646604035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Jay's Bar USA","https://maps.google.com/?cid=7264119175042115372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4321 Sunset Blvd, Los Angeles, CA 90029, USA","{  "places": [    {      "formattedAddress": "4321 Sunset Blvd, Los Angeles, CA 90029, USA",      "googleMapsUri": "https://maps.google.com/?cid=7264119175042115372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Mother Tongue USA","https://maps.google.com/?cid=14454867485310468324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","960 N La Brea Ave 4th Floor, Los Angeles, CA 90038, USA","{  "places": [    {      "formattedAddress": "960 N La Brea Ave 4th Floor, Los Angeles, CA 90038, USA",      "googleMapsUri": "https://maps.google.com/?cid=14454867485310468324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Power House USA","https://maps.google.com/?cid=11682698650544694459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1714 Highland Ave, Los Angeles, CA 90028, USA","{  "places": [    {      "formattedAddress": "1714 Highland Ave, Los Angeles, CA 90028, USA",      "googleMapsUri": "https://maps.google.com/?cid=11682698650544694459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Sunset Vinyl USA","https://maps.google.com/?cid=14062406171515063084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1521 Vine St, Los Angeles, CA 90028, USA","{  "places": [    {      "formattedAddress": "1521 Vine St, Los Angeles, CA 90028, USA",      "googleMapsUri": "https://maps.google.com/?cid=14062406171515063084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"The Well USA","https://maps.google.com/?cid=14278525344119121956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","6255 Sunset Blvd, Los Angeles, CA 90028, USA","{  "places": [    {      "formattedAddress": "6255 Sunset Blvd, Los Angeles, CA 90028, USA",      "googleMapsUri": "https://maps.google.com/?cid=14278525344119121956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"All Seasons Brewing USA","https://maps.google.com/?cid=1895768546188553684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","800 S La Brea Ave, Los Angeles, CA 90036, USA","{  "places": [    {      "formattedAddress": "800 S La Brea Ave, Los Angeles, CA 90036, USA",      "googleMapsUri": "https://maps.google.com/?cid=1895768546188553684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Breakroom 86 USA","https://maps.google.com/?cid=585944012083531389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","630 S Ardmore Ave, Los Angeles, CA 90010, USA","{  "places": [    {      "formattedAddress": "630 S Ardmore Ave, Los Angeles, CA 90010, USA",      "googleMapsUri": "https://maps.google.com/?cid=585944012083531389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Delicious Pizza USA","https://maps.google.com/?cid=7221154802553902263&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5419 W Adams Blvd, Los Angeles, CA 90016, USA","{  "places": [    {      "formattedAddress": "5419 W Adams Blvd, Los Angeles, CA 90016, USA",      "googleMapsUri": "https://maps.google.com/?cid=7221154802553902263&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
